ty,gk,qk,n_opt,mouth_pred
RACExRELIG,RACExRELIG :: Asian | Agnostic,ADMISSIONa_W43,3,"0.211352,0.312358,0.476290"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,ADMISSIONb_W43,3,"0.212804,0.329597,0.457600"
RACExRELIG,RACExRELIG :: Other | Nothing in particular,ADMISSIONb_W43,3,"0.216212,0.340149,0.443638"
RACExRELIG,RACExRELIG :: Other | Protestant,ADMISSIONb_W43,3,"0.257082,0.335299,0.407619"
RACExRELIG,RACExRELIG :: White | Agnostic,ADMISSIONb_W43,3,"0.252482,0.334485,0.413033"
RACExRELIG,RACExRELIG :: White | Atheist,ADMISSIONb_W43,3,"0.230861,0.341190,0.427949"
RACExRELIG,RACExRELIG :: White | Jewish,ADMISSIONb_W43,3,"0.251297,0.340809,0.407895"
RACExRELIG,RACExRELIG :: White | Mormon,ADMISSIONb_W43,3,"0.261431,0.330480,0.408089"
RACExRELIG,RACExRELIG :: White | Nothing in particular,ADMISSIONb_W43,3,"0.236911,0.334098,0.428991"
RACExRELIG,RACExRELIG :: White | Other,ADMISSIONb_W43,3,"0.260078,0.333947,0.405976"
RACExRELIG,RACExRELIG :: White | Protestant,ADMISSIONb_W43,3,"0.269730,0.325357,0.404913"
RACExRELIG,RACExRELIG :: White | Roman Catholic,ADMISSIONb_W43,3,"0.263728,0.318116,0.418156"
RACExRELIG,RACExRELIG :: Asian | Agnostic,ADMISSIONc_W43,3,"0.272973,0.345070,0.381957"
RACExRELIG,RACExRELIG :: Asian | Hindu,ADMISSIONc_W43,3,"0.255750,0.369218,0.375032"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,ADMISSIONc_W43,3,"0.231109,0.366438,0.402453"
RACExRELIG,RACExRELIG :: Asian | Protestant,ADMISSIONc_W43,3,"0.256873,0.348371,0.394756"
RACExRELIG,RACExRELIG :: Asian | Roman Catholic,ADMISSIONc_W43,3,"0.257466,0.343762,0.398771"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,ADMISSIONc_W43,3,"0.223070,0.385430,0.391500"
RACExRELIG,RACExRELIG :: Black | Protestant,ADMISSIONc_W43,3,"0.254266,0.369954,0.375780"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,ADMISSIONc_W43,3,"0.246175,0.369552,0.384273"
RACExRELIG,RACExRELIG :: Hispanic | Agnostic,ADMISSIONc_W43,3,"0.233361,0.375834,0.390805"
RACExRELIG,RACExRELIG :: Hispanic | Atheist,ADMISSIONc_W43,3,"0.225005,0.373880,0.401115"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,ADMISSIONc_W43,3,"0.217685,0.385046,0.397269"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,ADMISSIONc_W43,3,"0.246197,0.372485,0.381318"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,ADMISSIONc_W43,3,"0.243991,0.369147,0.386862"
RACExRELIG,RACExRELIG :: Other | Nothing in particular,ADMISSIONc_W43,3,"0.252793,0.373604,0.373604"
RACExRELIG,RACExRELIG :: Other | Protestant,ADMISSIONc_W43,3,"0.288206,0.358678,0.353117"
RACExRELIG,RACExRELIG :: White | Agnostic,ADMISSIONc_W43,3,"0.272399,0.355275,0.372325"
RACExRELIG,RACExRELIG :: White | Atheist,ADMISSIONc_W43,3,"0.264685,0.356172,0.379143"
RACExRELIG,RACExRELIG :: White | Jewish,ADMISSIONc_W43,3,"0.280259,0.362682,0.357059"
RACExRELIG,RACExRELIG :: White | Mormon,ADMISSIONc_W43,3,"0.296266,0.346370,0.357365"
RACExRELIG,RACExRELIG :: White | Nothing in particular,ADMISSIONc_W43,3,"0.268562,0.358577,0.372861"
RACExRELIG,RACExRELIG :: White | Other,ADMISSIONc_W43,3,"0.284992,0.351918,0.363089"
RACExRELIG,RACExRELIG :: White | Protestant,ADMISSIONc_W43,3,"0.296234,0.343637,0.360129"
RACExRELIG,RACExRELIG :: White | Roman Catholic,ADMISSIONc_W43,3,"0.293725,0.340727,0.365547"
RACExRELIG,RACExRELIG :: Asian | Agnostic,ADMISSIONd_W43,3,"0.300301,0.340286,0.359413"
RACExRELIG,RACExRELIG :: Asian | Hindu,ADMISSIONd_W43,3,"0.270902,0.361701,0.367397"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,ADMISSIONd_W43,3,"0.247343,0.354303,0.398354"
RACExRELIG,RACExRELIG :: Asian | Protestant,ADMISSIONd_W43,3,"0.265005,0.340273,0.394723"
RACExRELIG,RACExRELIG :: Asian | Roman Catholic,ADMISSIONd_W43,3,"0.264755,0.334682,0.400562"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,ADMISSIONd_W43,3,"0.234045,0.374003,0.391952"
RACExRELIG,RACExRELIG :: Black | Protestant,ADMISSIONd_W43,3,"0.259419,0.360168,0.380413"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,ADMISSIONd_W43,3,"0.251177,0.359794,0.389030"
RACExRELIG,RACExRELIG :: Hispanic | Agnostic,ADMISSIONd_W43,3,"0.245463,0.371374,0.383163"
RACExRELIG,RACExRELIG :: Hispanic | Atheist,ADMISSIONd_W43,3,"0.229783,0.370073,0.400144"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,ADMISSIONd_W43,3,"0.227030,0.371396,0.401575"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,ADMISSIONd_W43,3,"0.249710,0.360498,0.389792"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,ADMISSIONd_W43,3,"0.246658,0.356092,0.397250"
RACExRELIG,RACExRELIG :: Other | Nothing in particular,ADMISSIONd_W43,3,"0.273227,0.361967,0.364806"
RACExRELIG,RACExRELIG :: Other | Protestant,ADMISSIONd_W43,3,"0.297916,0.348299,0.353784"
RACExRELIG,RACExRELIG :: White | Agnostic,ADMISSIONd_W43,3,"0.284992,0.351918,0.363089"
RACExRELIG,RACExRELIG :: White | Atheist,ADMISSIONd_W43,3,"0.270063,0.354991,0.374946"
RACExRELIG,RACExRELIG :: White | Jewish,ADMISSIONd_W43,3,"0.293839,0.357218,0.348943"
RACExRELIG,RACExRELIG :: White | Mormon,ADMISSIONd_W43,3,"0.314517,0.342741,0.342741"
RACExRELIG,RACExRELIG :: White | Nothing in particular,ADMISSIONd_W43,3,"0.277832,0.351213,0.370955"
RACExRELIG,RACExRELIG :: White | Other,ADMISSIONd_W43,3,"0.293037,0.350720,0.356243"
RACExRELIG,RACExRELIG :: White | Protestant,ADMISSIONd_W43,3,"0.304442,0.339629,0.355929"
RACExRELIG,RACExRELIG :: White | Roman Catholic,ADMISSIONd_W43,3,"0.299399,0.336624,0.363977"
RACExRELIG,RACExRELIG :: Asian | Agnostic,ADMISSIONg_W43,3,"0.384282,0.321079,0.294639"
RACExRELIG,RACExRELIG :: Asian | Hindu,ADMISSIONg_W43,3,"0.370701,0.342843,0.286456"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,ADMISSIONg_W43,3,"0.349524,0.346804,0.303672"
RACExRELIG,RACExRELIG :: Asian | Protestant,ADMISSIONg_W43,3,"0.367786,0.329681,0.302533"
RACExRELIG,RACExRELIG :: Asian | Roman Catholic,ADMISSIONg_W43,3,"0.369605,0.328733,0.301662"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,ADMISSIONg_W43,3,"0.335665,0.365787,0.298547"
RACExRELIG,RACExRELIG :: Black | Protestant,ADMISSIONg_W43,3,"0.357218,0.348943,0.293839"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,ADMISSIONg_W43,3,"0.359834,0.348763,0.291403"
RACExRELIG,RACExRELIG :: Hispanic | Agnostic,ADMISSIONg_W43,3,"0.324169,0.361636,0.314195"
RACExRELIG,RACExRELIG :: Hispanic | Atheist,ADMISSIONg_W43,3,"0.338820,0.355081,0.306099"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,ADMISSIONg_W43,3,"0.327011,0.370552,0.302436"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,ADMISSIONg_W43,3,"0.349109,0.354606,0.296285"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,ADMISSIONg_W43,3,"0.349109,0.354606,0.296285"
RACExRELIG,RACExRELIG :: Other | Nothing in particular,ADMISSIONg_W43,3,"0.342998,0.356662,0.300340"
RACExRELIG,RACExRELIG :: Other | Protestant,ADMISSIONg_W43,3,"0.361931,0.342669,0.295400"
RACExRELIG,RACExRELIG :: White | Agnostic,ADMISSIONg_W43,3,"0.338316,0.346339,0.315345"
RACExRELIG,RACExRELIG :: White | Atheist,ADMISSIONg_W43,3,"0.343582,0.343582,0.312835"
RACExRELIG,RACExRELIG :: White | Jewish,ADMISSIONg_W43,3,"0.359014,0.347968,0.293018"
RACExRELIG,RACExRELIG :: White | Mormon,ADMISSIONg_W43,3,"0.365887,0.333143,0.300970"
RACExRELIG,RACExRELIG :: White | Nothing in particular,ADMISSIONg_W43,3,"0.339053,0.349815,0.311132"
RACExRELIG,RACExRELIG :: White | Other,ADMISSIONg_W43,3,"0.340067,0.345422,0.314511"
RACExRELIG,RACExRELIG :: White | Protestant,ADMISSIONg_W43,3,"0.358751,0.334393,0.306856"
RACExRELIG,RACExRELIG :: White | Roman Catholic,ADMISSIONg_W43,3,"0.364161,0.331572,0.304268"
RACExRELIG,RACExRELIG :: Asian | Agnostic,ADMISSIONh_W43,3,"0.379773,0.300425,0.319801"
RACExRELIG,RACExRELIG :: Asian | Hindu,ADMISSIONh_W43,3,"0.356243,0.326907,0.316849"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,ADMISSIONh_W43,3,"0.338555,0.328139,0.333306"
RACExRELIG,RACExRELIG :: Asian | Protestant,ADMISSIONh_W43,3,"0.350803,0.314458,0.334739"
RACExRELIG,RACExRELIG :: Asian | Roman Catholic,ADMISSIONh_W43,3,"0.352522,0.311099,0.336379"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,ADMISSIONh_W43,3,"0.324603,0.348248,0.327149"
RACExRELIG,RACExRELIG :: Black | Protestant,ADMISSIONh_W43,3,"0.342042,0.334119,0.323839"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,ADMISSIONh_W43,3,"0.339422,0.334160,0.326419"
RACExRELIG,RACExRELIG :: Hispanic | Agnostic,ADMISSIONh_W43,3,"0.317889,0.343720,0.338391"
RACExRELIG,RACExRELIG :: Hispanic | Atheist,ADMISSIONh_W43,3,"0.320440,0.341107,0.338453"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,ADMISSIONh_W43,3,"0.311132,0.349815,0.339053"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,ADMISSIONh_W43,3,"0.329006,0.336808,0.334187"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,ADMISSIONh_W43,3,"0.328146,0.335927,0.335927"
RACExRELIG,RACExRELIG :: Other | Nothing in particular,ADMISSIONh_W43,3,"0.331572,0.339435,0.328992"
RACExRELIG,RACExRELIG :: Other | Protestant,ADMISSIONh_W43,3,"0.348234,0.329702,0.322064"
RACExRELIG,RACExRELIG :: White | Agnostic,ADMISSIONh_W43,3,"0.332424,0.327270,0.340307"
RACExRELIG,RACExRELIG :: White | Atheist,ADMISSIONh_W43,3,"0.328992,0.331572,0.339435"
RACExRELIG,RACExRELIG :: White | Jewish,ADMISSIONh_W43,3,"0.343803,0.333225,0.322973"
RACExRELIG,RACExRELIG :: White | Mormon,ADMISSIONh_W43,3,"0.350887,0.319486,0.329627"
RACExRELIG,RACExRELIG :: White | Nothing in particular,ADMISSIONh_W43,3,"0.328119,0.330692,0.341189"
RACExRELIG,RACExRELIG :: White | Other,ADMISSIONh_W43,3,"0.334187,0.329006,0.336808"
RACExRELIG,RACExRELIG :: White | Protestant,ADMISSIONh_W43,3,"0.345484,0.317034,0.337481"
RACExRELIG,RACExRELIG :: White | Roman Catholic,ADMISSIONh_W43,3,"0.348964,0.312809,0.338227"
RACExRELIG,RACExRELIG :: Asian | Hindu,BENEFITSa_W54,2,"0.665411,0.334589"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,BENEFITSa_W54,2,"0.651355,0.348645"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,BENEFITSa_W54,2,"0.615088,0.384912"
RACExRELIG,RACExRELIG :: Black | Protestant,BENEFITSa_W54,2,"0.618780,0.381220"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,BENEFITSa_W54,2,"0.620622,0.379378"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,BENEFITSa_W54,2,"0.624294,0.375706"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,BENEFITSa_W54,2,"0.626124,0.373876"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,BENEFITSa_W54,2,"0.627951,0.372049"
RACExRELIG,RACExRELIG :: Mixed Race | Nothing in particular,BENEFITSa_W54,2,"0.631594,0.368406"
RACExRELIG,RACExRELIG :: Mixed Race | Protestant,BENEFITSa_W54,2,"0.626124,0.373876"
RACExRELIG,RACExRELIG :: Refused | Protestant,BENEFITSa_W54,2,"0.588889,0.411111"
RACExRELIG,RACExRELIG :: White | Agnostic,BENEFITSa_W54,2,"0.585101,0.414899"
RACExRELIG,RACExRELIG :: White | Atheist,BENEFITSa_W54,2,"0.581303,0.418697"
RACExRELIG,RACExRELIG :: White | Jewish,BENEFITSa_W54,2,"0.613237,0.386763"
RACExRELIG,RACExRELIG :: White | Mormon,BENEFITSa_W54,2,"0.618780,0.381220"
RACExRELIG,RACExRELIG :: White | Nothing in particular,BENEFITSa_W54,2,"0.600188,0.399812"
RACExRELIG,RACExRELIG :: White | Orthodox,BENEFITSa_W54,2,"0.592667,0.407333"
RACExRELIG,RACExRELIG :: White | Other,BENEFITSa_W54,2,"0.605799,0.394201"
RACExRELIG,RACExRELIG :: White | Protestant,BENEFITSa_W54,2,"0.607663,0.392337"
RACExRELIG,RACExRELIG :: White | Roman Catholic,BENEFITSa_W54,2,"0.611382,0.388618"
RACExRELIG,RACExRELIG :: Asian | Hindu,BENEFITSb_W54,2,"0.579400,0.420600"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,BENEFITSb_W54,2,"0.562177,0.437824"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,BENEFITSb_W54,2,"0.519521,0.480479"
RACExRELIG,RACExRELIG :: Black | Protestant,BENEFITSb_W54,2,"0.531209,0.468791"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,BENEFITSb_W54,2,"0.525369,0.474631"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,BENEFITSb_W54,2,"0.527317,0.472683"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,BENEFITSb_W54,2,"0.537041,0.462959"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,BENEFITSb_W54,2,"0.535098,0.464902"
RACExRELIG,RACExRELIG :: Mixed Race | Nothing in particular,BENEFITSb_W54,2,"0.538983,0.461017"
RACExRELIG,RACExRELIG :: Mixed Race | Protestant,BENEFITSb_W54,2,"0.546738,0.453262"
RACExRELIG,RACExRELIG :: Refused | Protestant,BENEFITSb_W54,2,"0.523420,0.476580"
RACExRELIG,RACExRELIG :: White | Agnostic,BENEFITSb_W54,2,"0.513668,0.486332"
RACExRELIG,RACExRELIG :: White | Atheist,BENEFITSb_W54,2,"0.505859,0.494141"
RACExRELIG,RACExRELIG :: White | Jewish,BENEFITSb_W54,2,"0.531209,0.468791"
RACExRELIG,RACExRELIG :: White | Mormon,BENEFITSb_W54,2,"0.537041,0.462959"
RACExRELIG,RACExRELIG :: White | Nothing in particular,BENEFITSb_W54,2,"0.515620,0.484380"
RACExRELIG,RACExRELIG :: White | Orthodox,BENEFITSb_W54,2,"0.529263,0.470737"
RACExRELIG,RACExRELIG :: White | Other,BENEFITSb_W54,2,"0.529263,0.470737"
RACExRELIG,RACExRELIG :: White | Protestant,BENEFITSb_W54,2,"0.531209,0.468791"
RACExRELIG,RACExRELIG :: White | Roman Catholic,BENEFITSb_W54,2,"0.525369,0.474631"
RACExRELIG,RACExRELIG :: Asian | Hindu,BENEFITSc_W54,2,"0.603932,0.396068"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,BENEFITSc_W54,2,"0.590779,0.409221"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,BENEFITSc_W54,2,"0.554470,0.445530"
RACExRELIG,RACExRELIG :: Black | Protestant,BENEFITSc_W54,2,"0.560253,0.439747"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,BENEFITSc_W54,2,"0.560253,0.439747"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,BENEFITSc_W54,2,"0.560253,0.439747"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,BENEFITSc_W54,2,"0.566019,0.433981"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,BENEFITSc_W54,2,"0.566019,0.433981"
RACExRELIG,RACExRELIG :: Mixed Race | Nothing in particular,BENEFITSc_W54,2,"0.571767,0.428233"
RACExRELIG,RACExRELIG :: Mixed Race | Protestant,BENEFITSc_W54,2,"0.569853,0.430147"
RACExRELIG,RACExRELIG :: Refused | Protestant,BENEFITSc_W54,2,"0.548674,0.451327"
RACExRELIG,RACExRELIG :: White | Agnostic,BENEFITSc_W54,2,"0.544801,0.455199"
RACExRELIG,RACExRELIG :: White | Atheist,BENEFITSc_W54,2,"0.535098,0.464902"
RACExRELIG,RACExRELIG :: White | Jewish,BENEFITSc_W54,2,"0.558327,0.441673"
RACExRELIG,RACExRELIG :: White | Mormon,BENEFITSc_W54,2,"0.569853,0.430147"
RACExRELIG,RACExRELIG :: White | Nothing in particular,BENEFITSc_W54,2,"0.546738,0.453262"
RACExRELIG,RACExRELIG :: White | Orthodox,BENEFITSc_W54,2,"0.548674,0.451327"
RACExRELIG,RACExRELIG :: White | Other,BENEFITSc_W54,2,"0.554470,0.445530"
RACExRELIG,RACExRELIG :: White | Protestant,BENEFITSc_W54,2,"0.558327,0.441673"
RACExRELIG,RACExRELIG :: White | Roman Catholic,BENEFITSc_W54,2,"0.558327,0.441673"
RACExRELIG,RACExRELIG :: Asian | Agnostic,BIGHOUSES_W92,2,"0.445530,0.554470"
RACExRELIG,RACExRELIG :: Asian | Hindu,BIGHOUSES_W92,2,"0.416797,0.583203"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,BIGHOUSES_W92,2,"0.394201,0.605799"
RACExRELIG,RACExRELIG :: Asian | Protestant,BIGHOUSES_W92,2,"0.439747,0.560253"
RACExRELIG,RACExRELIG :: Asian | Roman Catholic,BIGHOUSES_W92,2,"0.409221,0.590779"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,BIGHOUSES_W92,2,"0.396068,0.603932"
RACExRELIG,RACExRELIG :: Black | Protestant,BIGHOUSES_W92,2,"0.445530,0.554470"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,BIGHOUSES_W92,2,"0.414899,0.585101"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,BIGHOUSES_W92,2,"0.394201,0.605799"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,BIGHOUSES_W92,2,"0.439747,0.560253"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,BIGHOUSES_W92,2,"0.416797,0.583203"
RACExRELIG,RACExRELIG :: Mixed Race | Nothing in particular,BIGHOUSES_W92,2,"0.388618,0.611382"
RACExRELIG,RACExRELIG :: Mixed Race | Protestant,BIGHOUSES_W92,2,"0.439747,0.560253"
RACExRELIG,RACExRELIG :: Other | Protestant,BIGHOUSES_W92,2,"0.453262,0.546738"
RACExRELIG,RACExRELIG :: Refused | Protestant,BIGHOUSES_W92,2,"0.455199,0.544801"
RACExRELIG,RACExRELIG :: White | Agnostic,BIGHOUSES_W92,2,"0.432063,0.567937"
RACExRELIG,RACExRELIG :: White | Atheist,BIGHOUSES_W92,2,"0.447460,0.552540"
RACExRELIG,RACExRELIG :: White | Buddhist,BIGHOUSES_W92,2,"0.435902,0.564098"
RACExRELIG,RACExRELIG :: White | Jewish,BIGHOUSES_W92,2,"0.428233,0.571767"
RACExRELIG,RACExRELIG :: White | Mormon,BIGHOUSES_W92,2,"0.447460,0.552540"
RACExRELIG,RACExRELIG :: White | Nothing in particular,BIGHOUSES_W92,2,"0.424412,0.575588"
RACExRELIG,RACExRELIG :: White | Orthodox,BIGHOUSES_W92,2,"0.472683,0.527317"
RACExRELIG,RACExRELIG :: White | Other,BIGHOUSES_W92,2,"0.455199,0.544801"
RACExRELIG,RACExRELIG :: White | Protestant,BIGHOUSES_W92,2,"0.455199,0.544801"
RACExRELIG,RACExRELIG :: White | Roman Catholic,BIGHOUSES_W92,2,"0.430147,0.569853"
RACExRELIG,RACExRELIG :: Asian | Agnostic,BILLION_W92,3,"0.284273,0.420129,0.295598"
RACExRELIG,RACExRELIG :: Asian | Hindu,BILLION_W92,3,"0.281756,0.422966,0.295278"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,BILLION_W92,3,"0.264811,0.423166,0.312023"
RACExRELIG,RACExRELIG :: Asian | Protestant,BILLION_W92,3,"0.301396,0.408754,0.289850"
RACExRELIG,RACExRELIG :: Asian | Roman Catholic,BILLION_W92,3,"0.297832,0.413499,0.288669"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,BILLION_W92,3,"0.254447,0.436224,0.309329"
RACExRELIG,RACExRELIG :: Black | Protestant,BILLION_W92,3,"0.287832,0.422078,0.290090"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,BILLION_W92,3,"0.281162,0.435472,0.283367"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,BILLION_W92,3,"0.263058,0.426985,0.309958"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,BILLION_W92,3,"0.292660,0.419217,0.288123"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,BILLION_W92,3,"0.292355,0.422063,0.285582"
RACExRELIG,RACExRELIG :: Mixed Race | Nothing in particular,BILLION_W92,3,"0.262648,0.423003,0.314349"
RACExRELIG,RACExRELIG :: Mixed Race | Protestant,BILLION_W92,3,"0.295128,0.409744,0.295128"
RACExRELIG,RACExRELIG :: Other | Protestant,BILLION_W92,3,"0.291619,0.414474,0.293906"
RACExRELIG,RACExRELIG :: Refused | Protestant,BILLION_W92,3,"0.300771,0.398457,0.300771"
RACExRELIG,RACExRELIG :: White | Agnostic,BILLION_W92,3,"0.273599,0.413942,0.312460"
RACExRELIG,RACExRELIG :: White | Atheist,BILLION_W92,3,"0.266098,0.425223,0.308679"
RACExRELIG,RACExRELIG :: White | Buddhist,BILLION_W92,3,"0.279578,0.403618,0.316804"
RACExRELIG,RACExRELIG :: White | Jewish,BILLION_W92,3,"0.287521,0.431619,0.280860"
RACExRELIG,RACExRELIG :: White | Mormon,BILLION_W92,3,"0.310445,0.411273,0.278281"
RACExRELIG,RACExRELIG :: White | Nothing in particular,BILLION_W92,3,"0.278885,0.402618,0.318497"
RACExRELIG,RACExRELIG :: White | Orthodox,BILLION_W92,3,"0.287700,0.396323,0.315977"
RACExRELIG,RACExRELIG :: White | Other,BILLION_W92,3,"0.284601,0.407672,0.307727"
RACExRELIG,RACExRELIG :: White | Protestant,BILLION_W92,3,"0.310721,0.392788,0.296492"
RACExRELIG,RACExRELIG :: White | Roman Catholic,BILLION_W92,3,"0.314017,0.400068,0.285916"
RACExRELIG,RACExRELIG :: Asian | Agnostic,BUSPROFIT_W92,2,"0.777300,0.222700"
RACExRELIG,RACExRELIG :: Asian | Hindu,BUSPROFIT_W92,2,"0.707405,0.292595"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,BUSPROFIT_W92,2,"0.684264,0.315736"
