ty,gk,qk,n_opt,mouth_pred
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Conservative,ADKIDS_W50,3,"0.329804,0.262943,0.407253"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,ADMISSIONg_W43,3,"0.384388,0.347266,0.268346"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Refused,ADMISSIONg_W43,3,"0.358569,0.339486,0.301945"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very conservative,ADMISSIONg_W43,3,"0.391615,0.319627,0.288759"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very liberal,ADMISSIONg_W43,3,"0.377791,0.325677,0.296532"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Conservative,ADMISSIONg_W43,3,"0.405236,0.320568,0.274196"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Liberal,ADMISSIONg_W43,3,"0.410024,0.316842,0.273135"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Moderate,ADMISSIONg_W43,3,"0.393672,0.342028,0.264299"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,ADMISSIONg_W43,3,"0.402618,0.318497,0.278885"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,ADMISSIONg_W43,3,"0.404366,0.319880,0.275754"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,ADMISSIONg_W43,3,"0.392258,0.338147,0.269595"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,ADMISSIONg_W43,3,"0.377087,0.317539,0.305374"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,ADMISSIONg_W43,3,"0.404022,0.304972,0.291006"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,ADMISSIONg_W43,3,"0.392788,0.310721,0.296492"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,BENEFITSb_W54,2,"0.581303,0.418697"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,BENEFITSb_W54,2,"0.571767,0.428233"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,BENEFITSb_W54,2,"0.537041,0.462959"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,BENEFITSb_W54,2,"0.556400,0.443600"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,BENEFITSb_W54,2,"0.538983,0.461017"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,BENEFITSb_W54,2,"0.548674,0.451327"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,BENEFITSb_W54,2,"0.546738,0.453262"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,BENEFITSb_W54,2,"0.540924,0.459076"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,BENEFITSb_W54,2,"0.550607,0.449393"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,BENEFITSb_W54,2,"0.558327,0.441673"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Liberal,BENEFITSb_W54,2,"0.556400,0.443600"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Moderate,BENEFITSb_W54,2,"0.556400,0.443600"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Refused | Moderate,BENEFITSb_W54,2,"0.533154,0.466846"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,BENEFITSb_W54,2,"0.537041,0.462959"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,BENEFITSb_W54,2,"0.540924,0.459076"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,BENEFITSb_W54,2,"0.537041,0.462959"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,BENEFITSb_W54,2,"0.550607,0.449393"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,BENEFITSb_W54,2,"0.554470,0.445530"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,BENEFITSb_W54,2,"0.550607,0.449393"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,BENEFITSc_W54,2,"0.607663,0.392337"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,BENEFITSc_W54,2,"0.603932,0.396068"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,BENEFITSc_W54,2,"0.560253,0.439747"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,BENEFITSc_W54,2,"0.577495,0.422505"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,BENEFITSc_W54,2,"0.562177,0.437824"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,BENEFITSc_W54,2,"0.569853,0.430147"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,BENEFITSc_W54,2,"0.567937,0.432063"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,BENEFITSc_W54,2,"0.566019,0.433981"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,BENEFITSc_W54,2,"0.571767,0.428233"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,BENEFITSc_W54,2,"0.586996,0.413004"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Liberal,BENEFITSc_W54,2,"0.573678,0.426322"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Moderate,BENEFITSc_W54,2,"0.577495,0.422505"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Refused | Moderate,BENEFITSc_W54,2,"0.556400,0.443600"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,BENEFITSc_W54,2,"0.564098,0.435902"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,BENEFITSc_W54,2,"0.562177,0.437824"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,BENEFITSc_W54,2,"0.566019,0.433981"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,BENEFITSc_W54,2,"0.569853,0.430147"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,BENEFITSc_W54,2,"0.575588,0.424412"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,BENEFITSc_W54,2,"0.573678,0.426322"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Conservative,CANQUALPOL_W92,4,"0.222136,0.167677,0.318195,0.291992"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,CANQUALPOL_W92,4,"0.125593,0.152682,0.374951,0.346773"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,CANQUALPOL_W92,4,"0.111393,0.147572,0.465334,0.275701"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,CANQUALPOL_W92,4,"0.149504,0.176158,0.350333,0.324005"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,CANQUALPOL_W92,4,"0.124855,0.193379,0.372748,0.309019"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,CANQUALPOL_W92,4,"0.103226,0.181166,0.469910,0.245698"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,CANQUALPOL_W92,4,"0.124789,0.139213,0.297024,0.438974"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,CANQUALPOL_W92,4,"0.133165,0.143986,0.250737,0.472112"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,CANQUALPOL_W92,4,"0.145138,0.165753,0.362037,0.327073"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,CANQUALPOL_W92,4,"0.107686,0.157912,0.400103,0.334299"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,CANQUALPOL_W92,4,"0.096212,0.159872,0.496302,0.247614"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very conservative,CANQUALPOL_W92,4,"0.124446,0.134558,0.303231,0.437765"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very liberal,CANQUALPOL_W92,4,"0.137589,0.143070,0.261098,0.458242"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Conservative,CANQUALPOL_W92,4,"0.154974,0.164969,0.328080,0.351978"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Liberal,CANQUALPOL_W92,4,"0.117504,0.167006,0.361937,0.353553"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Moderate,CANQUALPOL_W92,4,"0.098548,0.165036,0.455680,0.280736"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Refused | Conservative,CANQUALPOL_W92,4,"0.177259,0.185766,0.320975,0.315999"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Refused | Moderate,CANQUALPOL_W92,4,"0.137140,0.199537,0.403077,0.260246"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,CANQUALPOL_W92,4,"0.160855,0.163388,0.337879,0.337879"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,CANQUALPOL_W92,4,"0.131601,0.168980,0.363363,0.336056"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,CANQUALPOL_W92,4,"0.116096,0.174281,0.452051,0.257571"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,CANQUALPOL_W92,4,"0.144100,0.172466,0.335044,0.348390"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,CANQUALPOL_W92,4,"0.152509,0.137780,0.261461,0.448249"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,CANQUALPOL_W92,4,"0.161587,0.148280,0.236951,0.453181"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,CITYSIZE_W32,3,"0.367029,0.309069,0.323902"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,CITYSIZE_W32,3,"0.338453,0.341107,0.320440"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,CITYSIZE_W32,3,"0.343803,0.333225,0.322973"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,CITYSIZE_W32,3,"0.339435,0.331572,0.328992"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,CITYSIZE_W32,3,"0.312599,0.359800,0.327601"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,CITYSIZE_W32,3,"0.339353,0.321293,0.339353"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,CITYSIZE_W32,3,"0.340204,0.319592,0.340204"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,CITYSIZE_W32,3,"0.342906,0.334963,0.322131"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,CITYSIZE_W32,3,"0.336815,0.331593,0.331593"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,CITYSIZE_W32,3,"0.311720,0.361601,0.326679"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very liberal,CITYSIZE_W32,3,"0.341148,0.322993,0.335859"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Moderate,CITYSIZE_W32,3,"0.315161,0.357124,0.327715"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Conservative,CITYSIZE_W32,3,"0.354454,0.327816,0.317730"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Moderate,CITYSIZE_W32,3,"0.330355,0.354419,0.315227"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,CITYSIZE_W32,3,"0.353587,0.324469,0.321944"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,CITYSIZE_W32,3,"0.351761,0.317790,0.330449"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,CITYSIZE_W32,3,"0.327977,0.349130,0.322893"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,CITYSIZE_W32,3,"0.333225,0.322973,0.343803"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,CITYSIZE_W32,3,"0.357722,0.303594,0.338684"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,CITYSIZE_W32,3,"0.357722,0.303594,0.338684"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,COMMIMPA_W32,4,"0.706235,0.185677,0.081753,0.026335"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,COMMIMPA_W32,4,"0.692469,0.195320,0.089424,0.022787"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,COMMIMPA_W32,4,"0.577801,0.258408,0.119236,0.044555"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,COMMIMPA_W32,4,"0.606246,0.258714,0.102909,0.032130"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,COMMIMPA_W32,4,"0.595744,0.270629,0.105980,0.027647"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,COMMIMPA_W32,4,"0.674456,0.197817,0.088469,0.039258"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,COMMIMPA_W32,4,"0.666899,0.200239,0.087478,0.045383"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,COMMIMPA_W32,4,"0.574301,0.252861,0.127147,0.045691"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,COMMIMPA_W32,4,"0.621283,0.241405,0.104641,0.032671"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,COMMIMPA_W32,4,"0.614632,0.260251,0.100336,0.024781"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very liberal,COMMIMPA_W32,4,"0.641033,0.206494,0.099854,0.052619"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Moderate,COMMIMPA_W32,4,"0.612301,0.255245,0.097640,0.034815"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Conservative,COMMIMPA_W32,4,"0.581254,0.246119,0.121838,0.050789"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Moderate,COMMIMPA_W32,4,"0.587349,0.262679,0.113863,0.036110"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,COMMIMPA_W32,4,"0.573201,0.254356,0.118287,0.054156"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,COMMIMPA_W32,4,"0.602547,0.249224,0.103892,0.044336"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,COMMIMPA_W32,4,"0.591200,0.268565,0.102735,0.037500"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,COMMIMPA_W32,4,"0.518735,0.269116,0.121300,0.090850"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,COMMIMPA_W32,4,"0.643678,0.197850,0.097181,0.061291"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,COMMIMPA_W32,4,"0.617105,0.206704,0.100740,0.075451"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,COMMIMPD_W32,4,"0.369149,0.247835,0.243993,0.139023"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,COMMIMPD_W32,4,"0.327156,0.271222,0.275493,0.126130"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,COMMIMPD_W32,4,"0.384673,0.246431,0.236990,0.131905"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,COMMIMPD_W32,4,"0.341687,0.272416,0.249983,0.135914"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,COMMIMPD_W32,4,"0.289539,0.291810,0.285050,0.133600"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,COMMIMPD_W32,4,"0.449770,0.202727,0.212457,0.135046"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,COMMIMPD_W32,4,"0.411032,0.214913,0.206680,0.167375"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,COMMIMPD_W32,4,"0.375824,0.246471,0.242650,0.135055"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,COMMIMPD_W32,4,"0.329017,0.266446,0.256238,0.148299"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,COMMIMPD_W32,4,"0.294095,0.294095,0.287282,0.124528"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very liberal,COMMIMPD_W32,4,"0.395290,0.216601,0.209937,0.178171"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Moderate,COMMIMPD_W32,4,"0.296734,0.287604,0.276586,0.139076"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Conservative,COMMIMPD_W32,4,"0.403193,0.240757,0.226171,0.129879"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Moderate,COMMIMPD_W32,4,"0.323678,0.283422,0.262122,0.130778"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,COMMIMPD_W32,4,"0.381592,0.242555,0.233263,0.142591"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,COMMIMPD_W32,4,"0.338367,0.257416,0.245628,0.158589"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,COMMIMPD_W32,4,"0.309247,0.279381,0.268678,0.142694"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,COMMIMPD_W32,4,"0.318715,0.242465,0.242465,0.196354"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,COMMIMPD_W32,4,"0.443687,0.196885,0.199985,0.159442"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,COMMIMPD_W32,4,"0.410404,0.206364,0.193861,0.189370"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,COMMYRS_W32,5,"0.128164,0.157030,0.195427,0.239442,0.279936"
