ty,gk,qk,n_opt,mouth_pred
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,ADMISSIONe_W43,3,"0.451430,0.330273,0.218297"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,BETTERPOL1F1D_W36,3,"0.305743,0.325461,0.368796"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,BETTERPOL1F1D_W36,3,"0.267895,0.276399,0.455705"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,BETTERPOL1F1D_W36,3,"0.256299,0.268599,0.475103"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,BETTERPOL1F1D_W36,3,"0.323034,0.287312,0.389653"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,BETTERPOL1F1D_W36,3,"0.292532,0.328903,0.378565"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,BETTERPOL1F1D_W36,3,"0.276151,0.289403,0.434446"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,BETTERPOL1F1D_W36,3,"0.262380,0.277129,0.460491"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,BETTERPOL1F1D_W36,3,"0.323525,0.292280,0.384195"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,BETTERPOL1F1D_W36,3,"0.283402,0.326194,0.390403"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,BETTERPOL1F1D_W36,3,"0.272517,0.274654,0.452829"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,BETTERPOL1F1D_W36,3,"0.262715,0.268945,0.468340"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,BETTERPOL1F1D_W36,3,"0.313035,0.285021,0.401944"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,BETTERPOL1F1D_W36,3,"0.291088,0.317210,0.391702"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,BETTERPOL1F1D_W36,3,"0.270762,0.268655,0.460582"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,BETTERPOL1F1D_W36,3,"0.265335,0.265335,0.469330"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,BETTERPOL1F1D_W36,3,"0.309447,0.277387,0.413166"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,BETTERPOL2F1A_W36,3,"0.303314,0.265590,0.431096"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,BETTERPOL2F1A_W36,3,"0.249577,0.205296,0.545126"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,BETTERPOL2F1A_W36,3,"0.238926,0.201196,0.559877"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,BETTERPOL2F1A_W36,3,"0.340106,0.212833,0.447061"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,BETTERPOL2F1A_W36,3,"0.276977,0.266366,0.456657"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,BETTERPOL2F1A_W36,3,"0.258504,0.235370,0.506126"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,BETTERPOL2F1A_W36,3,"0.243200,0.221436,0.535364"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,BETTERPOL2F1A_W36,3,"0.344607,0.233172,0.422221"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,BETTERPOL2F1A_W36,3,"0.264127,0.250070,0.485803"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,BETTERPOL2F1A_W36,3,"0.245864,0.208662,0.545474"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,BETTERPOL2F1A_W36,3,"0.238442,0.207162,0.554395"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,BETTERPOL2F1A_W36,3,"0.321023,0.215525,0.463452"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,BETTERPOL2F1A_W36,3,"0.279001,0.250095,0.470904"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,BETTERPOL2F1A_W36,3,"0.249829,0.208740,0.541431"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,BETTERPOL2F1A_W36,3,"0.243375,0.208170,0.548455"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,BETTERPOL2F1A_W36,3,"0.325667,0.218643,0.455690"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,BETTERPOL2F1F_W36,3,"0.268713,0.295123,0.436164"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,BETTERPOL2F1F_W36,3,"0.226762,0.224997,0.548240"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,BETTERPOL2F1F_W36,3,"0.223803,0.213555,0.562642"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,BETTERPOL2F1F_W36,3,"0.284352,0.239448,0.476200"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,BETTERPOL2F1F_W36,3,"0.248582,0.290621,0.460797"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,BETTERPOL2F1F_W36,3,"0.223832,0.251661,0.524507"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,BETTERPOL2F1F_W36,3,"0.222037,0.232693,0.545270"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,BETTERPOL2F1F_W36,3,"0.282541,0.255254,0.462205"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,BETTERPOL2F1F_W36,3,"0.242085,0.276470,0.481444"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,BETTERPOL2F1F_W36,3,"0.223638,0.227160,0.549202"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,BETTERPOL2F1F_W36,3,"0.223268,0.219806,0.556926"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,BETTERPOL2F1F_W36,3,"0.275416,0.237423,0.487161"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,BETTERPOL2F1F_W36,3,"0.252654,0.275327,0.472020"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,BETTERPOL2F1F_W36,3,"0.225395,0.225395,0.549210"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,BETTERPOL2F1F_W36,3,"0.228734,0.218259,0.553007"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,BETTERPOL2F1F_W36,3,"0.278545,0.236398,0.485057"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,CAREGIV2_W27,4,"0.286144,0.295227,0.240958,0.177671"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,CAREGIV2_W27,4,"0.249572,0.296374,0.265668,0.188387"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,CAREGIV2_W27,4,"0.233961,0.295754,0.277835,0.192451"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,CAREGIV2_W27,4,"0.281069,0.296868,0.225845,0.196218"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,CAREGIV2_W27,4,"0.244259,0.308772,0.268266,0.178704"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,CAREGIV2_W27,4,"0.242830,0.321697,0.264621,0.170852"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,CAREGIV2_W27,4,"0.224495,0.314125,0.283789,0.177590"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,CAREGIV2_W27,4,"0.267070,0.314685,0.237537,0.180708"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,CAREGIV2_W27,4,"0.231823,0.297666,0.275296,0.195214"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,CAREGIV2_W27,4,"0.227359,0.301201,0.282953,0.188487"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,CAREGIV2_W27,4,"0.225286,0.303156,0.284789,0.186769"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,CAREGIV2_W27,4,"0.261524,0.303373,0.243767,0.191335"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,CAREGIV2_W27,4,"0.241803,0.271866,0.257397,0.228934"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,CAREGIV2_W27,4,"0.237494,0.271227,0.262882,0.228396"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,CAREGIV2_W27,4,"0.230358,0.271428,0.271428,0.226786"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,CAREGIV2_W27,4,"0.276133,0.267637,0.221879,0.234351"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,CAREGIV3A_W27,4,"0.352942,0.290323,0.210752,0.145983"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,CAREGIV3A_W27,4,"0.324404,0.300025,0.224708,0.150862"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,CAREGIV3A_W27,4,"0.285406,0.301449,0.247965,0.165180"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,CAREGIV3A_W27,4,"0.344754,0.301877,0.197976,0.155393"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,CAREGIV3A_W27,4,"0.310297,0.307883,0.230593,0.151227"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,CAREGIV3A_W27,4,"0.310523,0.317887,0.227183,0.144407"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,CAREGIV3A_W27,4,"0.272323,0.311002,0.257830,0.158845"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,CAREGIV3A_W27,4,"0.324531,0.314546,0.211176,0.149746"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,CAREGIV3A_W27,4,"0.295030,0.309189,0.231572,0.164209"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,CAREGIV3A_W27,4,"0.292912,0.309377,0.237208,0.160503"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,CAREGIV3A_W27,4,"0.274439,0.308560,0.251840,0.165161"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,CAREGIV3A_W27,4,"0.320352,0.308079,0.211740,0.159829"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,CAREGIV3A_W27,4,"0.304698,0.290745,0.221187,0.183370"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,CAREGIV3A_W27,4,"0.295712,0.295712,0.224965,0.183611"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,CAREGIV3A_W27,4,"0.273477,0.286601,0.249004,0.190918"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,CAREGIV3A_W27,4,"0.328646,0.287772,0.197783,0.185800"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,CAREGIV6C_W27,2,"0.851953,0.148047"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,CAREGIV6C_W27,2,"0.828939,0.171061"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,CAREGIV6C_W27,2,"0.809276,0.190724"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,CAREGIV6C_W27,2,"0.840783,0.159217"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,CAREGIV6C_W27,2,"0.801936,0.198064"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,CAREGIV6C_W27,2,"0.800692,0.199308"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,CAREGIV6C_W27,2,"0.769080,0.230920"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,CAREGIV6C_W27,2,"0.801936,0.198064"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,CAREGIV6C_W27,2,"0.798187,0.201813"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,CAREGIV6C_W27,2,"0.796925,0.203075"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,CAREGIV6C_W27,2,"0.781331,0.218669"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,CAREGIV6C_W27,2,"0.809276,0.190724"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,CAREGIV6C_W27,2,"0.816406,0.183594"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,CAREGIV6C_W27,2,"0.801936,0.198064"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,CAREGIV6C_W27,2,"0.779993,0.220007"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,CAREGIV6C_W27,2,"0.811676,0.188324"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,CARS2_W27,3,"0.319433,0.223000,0.457567"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,CARS2_W27,3,"0.302361,0.195219,0.502419"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,CARS2_W27,3,"0.276008,0.208342,0.515651"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,CARS2_W27,3,"0.332166,0.203049,0.464784"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,CARS2_W27,3,"0.299374,0.240554,0.460072"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,CARS2_W27,3,"0.302365,0.202998,0.494636"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,CARS2_W27,3,"0.279992,0.213007,0.507001"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,CARS2_W27,3,"0.331873,0.210952,0.457175"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,CARS2_W27,3,"0.286467,0.241229,0.472304"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,CARS2_W27,3,"0.296968,0.205704,0.497328"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,CARS2_W27,3,"0.274896,0.207502,0.517601"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,CARS2_W27,3,"0.319758,0.211347,0.468894"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,CARS2_W27,3,"0.295604,0.232022,0.472374"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,CARS2_W27,3,"0.298616,0.197373,0.504010"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,CARS2_W27,3,"0.280261,0.208272,0.511467"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,CARS2_W27,3,"0.324077,0.204393,0.471530"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,CARS8_W27,3,"0.248565,0.439666,0.311770"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,CARS8_W27,3,"0.222721,0.442934,0.334344"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,CARS8_W27,3,"0.240991,0.429613,0.329396"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,CARS8_W27,3,"0.230153,0.457714,0.312134"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,CARS8_W27,3,"0.243848,0.438115,0.318037"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,CARS8_W27,3,"0.250099,0.428769,0.321133"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,CARS8_W27,3,"0.260597,0.409977,0.329426"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,CARS8_W27,3,"0.252968,0.437089,0.309943"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,CARS8_W27,3,"0.240150,0.441703,0.318147"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,CARS8_W27,3,"0.244485,0.429085,0.326430"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,CARS8_W27,3,"0.263928,0.415217,0.320855"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,CARS8_W27,3,"0.251494,0.437952,0.310554"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,CARS8_W27,3,"0.245515,0.434272,0.320212"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,CARS8_W27,3,"0.248571,0.419543,0.331886"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,CARS8_W27,3,"0.269892,0.402003,0.328105"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,CARS8_W27,3,"0.258772,0.426642,0.314586"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,CARS9A_W27,4,"0.291187,0.267209,0.275691,0.165914"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,CARS9A_W27,4,"0.250526,0.273008,0.306951,0.169515"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,CARS9A_W27,4,"0.237051,0.270720,0.321488,0.170741"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,CARS9A_W27,4,"0.273083,0.268849,0.281752,0.176316"
