ty,gk,qk,n_opt,mouth_pred
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,ABORTIONRESTR_W32,2,"0.594551,0.405449"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,ADMISSIONb_W43,3,"0.284126,0.312051,0.403824"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,ADMISSIONb_W43,3,"0.274599,0.347125,0.378276"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,ADMISSIONb_W43,3,"0.290432,0.339549,0.370019"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,ADMISSIONb_W43,3,"0.272157,0.344039,0.383803"
RACExPOLPARTY,RACExPOLPARTY :: Black | Refused,ADMISSIONb_W43,3,"0.268768,0.337110,0.394122"
RACExPOLPARTY,RACExPOLPARTY :: Black | Republican,ADMISSIONb_W43,3,"0.281344,0.334104,0.384552"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,ADMISSIONb_W43,3,"0.267450,0.343413,0.389137"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,ADMISSIONb_W43,3,"0.257222,0.338112,0.404667"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,ADMISSIONb_W43,3,"0.264062,0.336424,0.399514"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Refused,ADMISSIONb_W43,3,"0.261855,0.338865,0.399280"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,ADMISSIONb_W43,3,"0.273980,0.330483,0.395537"
RACExPOLPARTY,RACExPOLPARTY :: Other | Democrat,ADMISSIONb_W43,3,"0.305197,0.335193,0.359610"
RACExPOLPARTY,RACExPOLPARTY :: Other | Independent,ADMISSIONb_W43,3,"0.295776,0.327395,0.376829"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,ADMISSIONb_W43,3,"0.302616,0.332359,0.365025"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,ADMISSIONb_W43,3,"0.304745,0.321874,0.373381"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,ADMISSIONb_W43,3,"0.303311,0.327957,0.368732"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,ADMISSIONb_W43,3,"0.314635,0.314635,0.370730"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,ADMISSIONd_W43,3,"0.388159,0.311895,0.299946"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,ADMISSIONd_W43,3,"0.350741,0.311955,0.337304"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Other,ADMISSIONd_W43,3,"0.329843,0.329843,0.340314"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,ADMISSIONd_W43,3,"0.339299,0.318742,0.341960"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,ADMISSIONd_W43,3,"0.312730,0.354370,0.332900"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,ADMISSIONd_W43,3,"0.349940,0.333915,0.316145"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,ADMISSIONd_W43,3,"0.313635,0.349885,0.336481"
RACExPOLPARTY,RACExPOLPARTY :: Black | Refused,ADMISSIONd_W43,3,"0.313674,0.344503,0.341823"
RACExPOLPARTY,RACExPOLPARTY :: Black | Republican,ADMISSIONd_W43,3,"0.329863,0.337686,0.332451"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,ADMISSIONd_W43,3,"0.301175,0.354871,0.343953"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,ADMISSIONd_W43,3,"0.309486,0.345257,0.345257"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,ADMISSIONd_W43,3,"0.309486,0.345257,0.345257"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Refused,ADMISSIONd_W43,3,"0.302848,0.348576,0.348576"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,ADMISSIONd_W43,3,"0.318742,0.339299,0.341960"
RACExPOLPARTY,RACExPOLPARTY :: Other | Democrat,ADMISSIONd_W43,3,"0.342865,0.337550,0.319585"
RACExPOLPARTY,RACExPOLPARTY :: Other | Independent,ADMISSIONd_W43,3,"0.356271,0.321864,0.321864"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,ADMISSIONd_W43,3,"0.331539,0.342063,0.326399"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,ADMISSIONd_W43,3,"0.351803,0.322833,0.325365"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,ADMISSIONd_W43,3,"0.340286,0.335011,0.324703"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,ADMISSIONd_W43,3,"0.358962,0.319267,0.321771"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,ADMISSIONe_W43,3,"0.451651,0.300865,0.247484"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,ADMISSIONe_W43,3,"0.429300,0.302050,0.268649"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Other,ADMISSIONe_W43,3,"0.396994,0.321495,0.281511"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,ADMISSIONe_W43,3,"0.431847,0.306225,0.261928"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,ADMISSIONe_W43,3,"0.396351,0.341676,0.261972"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,ADMISSIONe_W43,3,"0.415872,0.323882,0.260246"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,ADMISSIONe_W43,3,"0.376014,0.342365,0.281621"
RACExPOLPARTY,RACExPOLPARTY :: Black | Refused,ADMISSIONe_W43,3,"0.375349,0.339100,0.285551"
RACExPOLPARTY,RACExPOLPARTY :: Black | Republican,ADMISSIONe_W43,3,"0.408301,0.328079,0.263619"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,ADMISSIONe_W43,3,"0.381141,0.344333,0.274526"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,ADMISSIONe_W43,3,"0.392649,0.333237,0.274113"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,ADMISSIONe_W43,3,"0.374511,0.338342,0.287147"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Refused,ADMISSIONe_W43,3,"0.361790,0.345223,0.292987"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,ADMISSIONe_W43,3,"0.395537,0.330483,0.273980"
RACExPOLPARTY,RACExPOLPARTY :: Other | Democrat,ADMISSIONe_W43,3,"0.400971,0.329830,0.269199"
RACExPOLPARTY,RACExPOLPARTY :: Other | Independent,ADMISSIONe_W43,3,"0.419194,0.316424,0.264382"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,ADMISSIONe_W43,3,"0.390788,0.334259,0.274954"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,ADMISSIONe_W43,3,"0.406249,0.318869,0.274882"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,ADMISSIONe_W43,3,"0.381148,0.331147,0.287705"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,ADMISSIONe_W43,3,"0.413809,0.314809,0.271382"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,ADMISSIONh_W43,3,"0.448915,0.280924,0.270162"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,ADMISSIONh_W43,3,"0.419217,0.288123,0.292660"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Other,ADMISSIONh_W43,3,"0.386349,0.305627,0.308024"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,ADMISSIONh_W43,3,"0.411635,0.294182,0.294182"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,ADMISSIONh_W43,3,"0.376614,0.332361,0.291025"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,ADMISSIONh_W43,3,"0.392591,0.317930,0.289479"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,ADMISSIONh_W43,3,"0.361552,0.329197,0.309252"
RACExPOLPARTY,RACExPOLPARTY :: Black | Refused,ADMISSIONh_W43,3,"0.363357,0.328266,0.308377"
RACExPOLPARTY,RACExPOLPARTY :: Black | Republican,ADMISSIONh_W43,3,"0.385244,0.319379,0.295377"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,ADMISSIONh_W43,3,"0.362269,0.335044,0.302687"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,ADMISSIONh_W43,3,"0.374204,0.325114,0.300682"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,ADMISSIONh_W43,3,"0.357152,0.325191,0.317658"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Refused,ADMISSIONh_W43,3,"0.351719,0.333001,0.315279"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,ADMISSIONh_W43,3,"0.373381,0.321874,0.304745"
RACExPOLPARTY,RACExPOLPARTY :: Other | Democrat,ADMISSIONh_W43,3,"0.380591,0.323004,0.296405"
RACExPOLPARTY,RACExPOLPARTY :: Other | Independent,ADMISSIONh_W43,3,"0.395504,0.312869,0.291626"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,ADMISSIONh_W43,3,"0.372441,0.323582,0.303977"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,ADMISSIONh_W43,3,"0.384484,0.311364,0.304152"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,ADMISSIONh_W43,3,"0.360761,0.320868,0.318371"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,ADMISSIONh_W43,3,"0.387277,0.306361,0.306361"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,ALLIES_W92,2,"0.644225,0.355775"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,ALLIES_W92,2,"0.637031,0.362969"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Other,ALLIES_W92,2,"0.603932,0.396068"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,ALLIES_W92,2,"0.600188,0.399812"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,ALLIES_W92,2,"0.586996,0.413004"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,ALLIES_W92,2,"0.596433,0.403567"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,ALLIES_W92,2,"0.575588,0.424412"
RACExPOLPARTY,RACExPOLPARTY :: Black | Republican,ALLIES_W92,2,"0.579400,0.420600"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,ALLIES_W92,2,"0.588889,0.411111"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,ALLIES_W92,2,"0.605799,0.394201"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,ALLIES_W92,2,"0.579400,0.420600"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,ALLIES_W92,2,"0.581303,0.418697"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Democrat,ALLIES_W92,2,"0.585101,0.414899"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Independent,ALLIES_W92,2,"0.596433,0.403567"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Other,ALLIES_W92,2,"0.575588,0.424412"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Republican,ALLIES_W92,2,"0.577495,0.422505"
RACExPOLPARTY,RACExPOLPARTY :: Refused | Independent,ALLIES_W92,2,"0.575588,0.424412"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,ALLIES_W92,2,"0.577495,0.422505"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,ALLIES_W92,2,"0.583203,0.416797"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,ALLIES_W92,2,"0.560253,0.439747"
RACExPOLPARTY,RACExPOLPARTY :: White | Refused,ALLIES_W92,2,"0.558327,0.441673"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,ALLIES_W92,2,"0.571767,0.428233"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,BENEFITSa_W54,2,"0.702530,0.297470"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,BENEFITSa_W54,2,"0.692642,0.307358"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,BENEFITSa_W54,2,"0.695958,0.304042"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,BENEFITSa_W54,2,"0.624294,0.375706"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,BENEFITSa_W54,2,"0.646014,0.353986"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,BENEFITSa_W54,2,"0.626124,0.373876"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,BENEFITSa_W54,2,"0.635222,0.364778"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,BENEFITSa_W54,2,"0.649579,0.350421"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,BENEFITSa_W54,2,"0.658418,0.341583"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,BENEFITSa_W54,2,"0.653127,0.346873"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Democrat,BENEFITSa_W54,2,"0.640636,0.359364"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Independent,BENEFITSa_W54,2,"0.653127,0.346873"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Other,BENEFITSa_W54,2,"0.649579,0.350421"
RACExPOLPARTY,RACExPOLPARTY :: Refused | Independent,BENEFITSa_W54,2,"0.607663,0.392337"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,BENEFITSa_W54,2,"0.618780,0.381220"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,BENEFITSa_W54,2,"0.626124,0.373876"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,BENEFITSa_W54,2,"0.613237,0.386763"
RACExPOLPARTY,RACExPOLPARTY :: White | Refused,BENEFITSa_W54,2,"0.613237,0.386763"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,BENEFITSa_W54,2,"0.638835,0.361165"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,BILLION_W92,3,"0.341248,0.386685,0.272067"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,BILLION_W92,3,"0.319843,0.365272,0.314884"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Other,BILLION_W92,3,"0.305132,0.362354,0.332514"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,BILLION_W92,3,"0.334555,0.388090,0.277355"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,BILLION_W92,3,"0.292346,0.428696,0.278958"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,BILLION_W92,3,"0.309050,0.393740,0.297210"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,BILLION_W92,3,"0.290268,0.375635,0.334097"
RACExPOLPARTY,RACExPOLPARTY :: Black | Republican,BILLION_W92,3,"0.317517,0.410897,0.271586"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,BILLION_W92,3,"0.292660,0.419217,0.288123"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,BILLION_W92,3,"0.300676,0.389104,0.310220"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,BILLION_W92,3,"0.300790,0.371427,0.327783"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,BILLION_W92,3,"0.319880,0.404366,0.275754"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Democrat,BILLION_W92,3,"0.299469,0.412535,0.287996"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Independent,BILLION_W92,3,"0.301021,0.383511,0.315468"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Other,BILLION_W92,3,"0.291969,0.371978,0.336054"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Republican,BILLION_W92,3,"0.322492,0.395125,0.282383"
RACExPOLPARTY,RACExPOLPARTY :: Refused | Independent,BILLION_W92,3,"0.303478,0.363216,0.333306"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,BILLION_W92,3,"0.304008,0.405905,0.290087"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,BILLION_W92,3,"0.323119,0.366141,0.310740"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,BILLION_W92,3,"0.307715,0.356956,0.335329"
RACExPOLPARTY,RACExPOLPARTY :: White | Refused,BILLION_W92,3,"0.319055,0.364372,0.316572"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,BILLION_W92,3,"0.345070,0.381957,0.272973"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,BUSPROFIT_W92,2,"0.767690,0.232310"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,BUSPROFIT_W92,2,"0.677474,0.322526"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Other,BUSPROFIT_W92,2,"0.656658,0.343342"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,BUSPROFIT_W92,2,"0.726426,0.273574"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,BUSPROFIT_W92,2,"0.702530,0.297470"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,BUSPROFIT_W92,2,"0.600188,0.399812"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,BUSPROFIT_W92,2,"0.586996,0.413004"
RACExPOLPARTY,RACExPOLPARTY :: Black | Republican,BUSPROFIT_W92,2,"0.649579,0.350421"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,BUSPROFIT_W92,2,"0.709019,0.290981"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,BUSPROFIT_W92,2,"0.613237,0.386763"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,BUSPROFIT_W92,2,"0.590779,0.409221"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,BUSPROFIT_W92,2,"0.642432,0.357568"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Democrat,BUSPROFIT_W92,2,"0.677474,0.322526"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Independent,BUSPROFIT_W92,2,"0.592667,0.407333"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Other,BUSPROFIT_W92,2,"0.581303,0.418697"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Republican,BUSPROFIT_W92,2,"0.616936,0.383064"
RACExPOLPARTY,RACExPOLPARTY :: Refused | Independent,BUSPROFIT_W92,2,"0.567937,0.432063"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,BUSPROFIT_W92,2,"0.661923,0.338077"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,BUSPROFIT_W92,2,"0.560253,0.439747"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,BUSPROFIT_W92,2,"0.538983,0.461017"
RACExPOLPARTY,RACExPOLPARTY :: White | Refused,BUSPROFIT_W92,2,"0.537041,0.462959"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,BUSPROFIT_W92,2,"0.566019,0.433981"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,CNTRYFAIR_W92,2,"0.433981,0.566019"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,CNTRYFAIR_W92,2,"0.405449,0.594551"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Other,CNTRYFAIR_W92,2,"0.379378,0.620622"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,CNTRYFAIR_W92,2,"0.338077,0.661923"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,CNTRYFAIR_W92,2,"0.366590,0.633410"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,CNTRYFAIR_W92,2,"0.361165,0.638835"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,CNTRYFAIR_W92,2,"0.364778,0.635222"
RACExPOLPARTY,RACExPOLPARTY :: Black | Republican,CNTRYFAIR_W92,2,"0.331120,0.668880"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,CNTRYFAIR_W92,2,"0.381220,0.618780"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,CNTRYFAIR_W92,2,"0.381220,0.618780"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,CNTRYFAIR_W92,2,"0.357568,0.642432"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,CNTRYFAIR_W92,2,"0.341583,0.658418"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Democrat,CNTRYFAIR_W92,2,"0.381220,0.618780"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Independent,CNTRYFAIR_W92,2,"0.372049,0.627951"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Other,CNTRYFAIR_W92,2,"0.361165,0.638835"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Republican,CNTRYFAIR_W92,2,"0.345105,0.654895"
RACExPOLPARTY,RACExPOLPARTY :: Refused | Independent,CNTRYFAIR_W92,2,"0.411111,0.588889"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,CNTRYFAIR_W92,2,"0.388618,0.611382"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,CNTRYFAIR_W92,2,"0.388618,0.611382"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,CNTRYFAIR_W92,2,"0.375706,0.624294"
RACExPOLPARTY,RACExPOLPARTY :: White | Refused,CNTRYFAIR_W92,2,"0.375706,0.624294"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,CNTRYFAIR_W92,2,"0.336331,0.663669"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,COMATTACH_W32,4,"0.429688,0.293022,0.190673,0.086617"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,COMATTACH_W32,4,"0.387086,0.308612,0.207192,0.097109"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,COMATTACH_W32,4,"0.362434,0.335197,0.201725,0.100644"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,COMATTACH_W32,4,"0.347367,0.350091,0.209049,0.093493"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,COMATTACH_W32,4,"0.314912,0.345863,0.230394,0.108831"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,COMATTACH_W32,4,"0.357820,0.330930,0.205479,0.105771"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,COMATTACH_W32,4,"0.349005,0.346289,0.210035,0.094670"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,COMATTACH_W32,4,"0.320166,0.354391,0.227032,0.098411"
