ty,gk,qk,n_opt,mouth_pred
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,ADMISSIONa_W43,3,"0.338125,0.310281,0.351594"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Other,ADMISSIONa_W43,3,"0.278667,0.328350,0.392983"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Refused,ADMISSIONa_W43,3,"0.288216,0.311636,0.400148"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Republican,ADMISSIONa_W43,3,"0.290312,0.306630,0.403058"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Democrat,ADMISSIONa_W43,3,"0.272429,0.331189,0.396382"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Independent,ADMISSIONa_W43,3,"0.274687,0.328757,0.396556"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Other,ADMISSIONa_W43,3,"0.278520,0.325623,0.395857"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Republican,ADMISSIONa_W43,3,"0.289066,0.293618,0.417316"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,ADMISSIONb_W43,3,"0.319049,0.302070,0.378881"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,ADMISSIONb_W43,3,"0.241137,0.304826,0.454037"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,ADMISSIONb_W43,3,"0.255932,0.308713,0.435355"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,ADMISSIONb_W43,3,"0.258745,0.324539,0.416716"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,ADMISSIONb_W43,3,"0.252407,0.321575,0.426018"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Other,ADMISSIONb_W43,3,"0.246348,0.321298,0.432354"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Democrat,ADMISSIONb_W43,3,"0.262213,0.318771,0.419016"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Republican,ADMISSIONb_W43,3,"0.282402,0.280205,0.437393"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Democrat,ADMISSIONb_W43,3,"0.266112,0.318494,0.415394"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Independent,ADMISSIONb_W43,3,"0.232933,0.311006,0.456061"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Other,ADMISSIONb_W43,3,"0.244453,0.316345,0.439202"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Republican,ADMISSIONb_W43,3,"0.268092,0.296751,0.435157"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Democrat,ADMISSIONb_W43,3,"0.271779,0.320233,0.407988"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Independent,ADMISSIONb_W43,3,"0.252354,0.311616,0.436029"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Democrat,ADMISSIONb_W43,3,"0.266112,0.318494,0.415394"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Independent,ADMISSIONb_W43,3,"0.256802,0.309762,0.433436"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Other,ADMISSIONb_W43,3,"0.267213,0.312403,0.420384"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Refused,ADMISSIONb_W43,3,"0.273637,0.295872,0.430491"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Republican,ADMISSIONb_W43,3,"0.276774,0.287799,0.435427"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Democrat,ADMISSIONb_W43,3,"0.257045,0.312487,0.430469"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Independent,ADMISSIONb_W43,3,"0.254797,0.304952,0.440250"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Other,ADMISSIONb_W43,3,"0.269160,0.307391,0.423449"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Republican,ADMISSIONb_W43,3,"0.273285,0.269048,0.457667"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,BETTERBIZ1F2D_W36,3,"0.302683,0.267117,0.430200"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,BETTERBIZ1F2D_W36,3,"0.270592,0.258201,0.471208"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,BETTERBIZ1F2D_W36,3,"0.261101,0.251098,0.487801"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,BETTERBIZ1F2D_W36,3,"0.287853,0.283391,0.428756"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,BETTERBIZ1F2D_W36,3,"0.266721,0.268813,0.464467"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Democrat,BETTERBIZ1F2D_W36,3,"0.278535,0.276367,0.445098"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Independent,BETTERBIZ1F2D_W36,3,"0.264907,0.262845,0.472248"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Republican,BETTERBIZ1F2D_W36,3,"0.317544,0.255154,0.427302"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Democrat,BETTERBIZ1F2D_W36,3,"0.270587,0.272710,0.456703"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Independent,BETTERBIZ1F2D_W36,3,"0.251182,0.245364,0.503454"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Other,BETTERBIZ1F2D_W36,3,"0.241002,0.244797,0.514202"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Republican,BETTERBIZ1F2D_W36,3,"0.277814,0.256936,0.465250"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Democrat,BETTERBIZ1F2D_W36,3,"0.275406,0.277566,0.447028"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Independent,BETTERBIZ1F2D_W36,3,"0.262570,0.254491,0.482939"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Democrat,BETTERBIZ1F2D_W36,3,"0.290388,0.290388,0.419224"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Independent,BETTERBIZ1F2D_W36,3,"0.282050,0.277677,0.440273"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Other,BETTERBIZ1F2D_W36,3,"0.272891,0.277188,0.449921"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Republican,BETTERBIZ1F2D_W36,3,"0.317165,0.269174,0.413661"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Democrat,BETTERBIZ1F2D_W36,3,"0.290732,0.279594,0.429674"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Independent,BETTERBIZ1F2D_W36,3,"0.271705,0.280330,0.447966"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Other,BETTERBIZ1F2D_W36,3,"0.265753,0.267837,0.466410"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Republican,BETTERBIZ1F2D_W36,3,"0.312677,0.253214,0.434109"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,BETTERBIZ1F2E_W36,3,"0.379094,0.244762,0.376144"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,BETTERBIZ1F2E_W36,3,"0.348104,0.244922,0.406975"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,BETTERBIZ1F2E_W36,3,"0.322530,0.243458,0.434012"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,BETTERBIZ1F2E_W36,3,"0.364433,0.262491,0.373075"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,BETTERBIZ1F2E_W36,3,"0.341894,0.252097,0.406009"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Democrat,BETTERBIZ1F2E_W36,3,"0.355870,0.256324,0.387806"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Independent,BETTERBIZ1F2E_W36,3,"0.330592,0.251501,0.417907"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Republican,BETTERBIZ1F2E_W36,3,"0.410278,0.224814,0.364909"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Democrat,BETTERBIZ1F2E_W36,3,"0.332887,0.259252,0.407861"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Independent,BETTERBIZ1F2E_W36,3,"0.311488,0.238826,0.449686"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Other,BETTERBIZ1F2E_W36,3,"0.290214,0.238723,0.471063"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Republican,BETTERBIZ1F2E_W36,3,"0.343014,0.243233,0.413753"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Democrat,BETTERBIZ1F2E_W36,3,"0.338170,0.263367,0.398462"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Independent,BETTERBIZ1F2E_W36,3,"0.323004,0.245729,0.431267"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Democrat,BETTERBIZ1F2E_W36,3,"0.377029,0.263208,0.359763"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Independent,BETTERBIZ1F2E_W36,3,"0.359437,0.260923,0.379641"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Other,BETTERBIZ1F2E_W36,3,"0.332584,0.263096,0.404320"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Republican,BETTERBIZ1F2E_W36,3,"0.411956,0.238422,0.349622"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Democrat,BETTERBIZ1F2E_W36,3,"0.384560,0.254179,0.361261"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Independent,BETTERBIZ1F2E_W36,3,"0.347266,0.268346,0.384388"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Other,BETTERBIZ1F2E_W36,3,"0.323882,0.260246,0.415872"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Republican,BETTERBIZ1F2E_W36,3,"0.416094,0.228001,0.355904"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,BETTERBIZ1F2G_W36,3,"0.245315,0.243406,0.511280"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,BETTERBIZ1F2G_W36,3,"0.206077,0.215967,0.577957"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,BETTERBIZ1F2G_W36,3,"0.213134,0.216490,0.570376"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,BETTERBIZ1F2G_W36,3,"0.228879,0.255333,0.515787"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,BETTERBIZ1F2G_W36,3,"0.201793,0.232263,0.565944"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Democrat,BETTERBIZ1F2G_W36,3,"0.222861,0.246684,0.530455"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Independent,BETTERBIZ1F2G_W36,3,"0.207986,0.226650,0.565364"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Republican,BETTERBIZ1F2G_W36,3,"0.238226,0.229100,0.532674"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Democrat,BETTERBIZ1F2G_W36,3,"0.225503,0.241930,0.532567"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Independent,BETTERBIZ1F2G_W36,3,"0.192867,0.203708,0.603426"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Other,BETTERBIZ1F2G_W36,3,"0.195000,0.204358,0.600642"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Republican,BETTERBIZ1F2G_W36,3,"0.225961,0.227734,0.546305"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Democrat,BETTERBIZ1F2G_W36,3,"0.233963,0.251006,0.515031"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Independent,BETTERBIZ1F2G_W36,3,"0.209230,0.217564,0.573206"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Democrat,BETTERBIZ1F2G_W36,3,"0.228878,0.259352,0.511770"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Independent,BETTERBIZ1F2G_W36,3,"0.220510,0.242183,0.537307"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Other,BETTERBIZ1F2G_W36,3,"0.226011,0.244376,0.529613"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Republican,BETTERBIZ1F2G_W36,3,"0.241970,0.245780,0.512250"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Democrat,BETTERBIZ1F2G_W36,3,"0.217328,0.240560,0.542111"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Independent,BETTERBIZ1F2G_W36,3,"0.211553,0.239721,0.548726"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Other,BETTERBIZ1F2G_W36,3,"0.219749,0.232101,0.548150"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Republican,BETTERBIZ1F2G_W36,3,"0.231108,0.218808,0.550084"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,BETTERBIZ1F2H_W36,3,"0.357966,0.263947,0.378087"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,BETTERBIZ1F2H_W36,3,"0.335686,0.259398,0.404915"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,BETTERBIZ1F2H_W36,3,"0.313537,0.257909,0.428554"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,BETTERBIZ1F2H_W36,3,"0.344880,0.279292,0.375828"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,BETTERBIZ1F2H_W36,3,"0.336071,0.267940,0.395989"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Democrat,BETTERBIZ1F2H_W36,3,"0.338465,0.271964,0.389571"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Independent,BETTERBIZ1F2H_W36,3,"0.326360,0.264294,0.409347"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Republican,BETTERBIZ1F2H_W36,3,"0.393923,0.244592,0.361484"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Democrat,BETTERBIZ1F2H_W36,3,"0.319880,0.275754,0.404366"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Independent,BETTERBIZ1F2H_W36,3,"0.313737,0.254072,0.432191"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Other,BETTERBIZ1F2H_W36,3,"0.292017,0.255699,0.452285"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Republican,BETTERBIZ1F2H_W36,3,"0.336748,0.260218,0.403034"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Democrat,BETTERBIZ1F2H_W36,3,"0.325623,0.278520,0.395857"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Independent,BETTERBIZ1F2H_W36,3,"0.321774,0.258553,0.419673"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Democrat,BETTERBIZ1F2H_W36,3,"0.352472,0.281015,0.366513"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Independent,BETTERBIZ1F2H_W36,3,"0.347869,0.273045,0.379086"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Other,BETTERBIZ1F2H_W36,3,"0.322595,0.275930,0.401476"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Republican,BETTERBIZ1F2H_W36,3,"0.392602,0.255471,0.351926"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Democrat,BETTERBIZ1F2H_W36,3,"0.355275,0.272399,0.372325"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Independent,BETTERBIZ1F2H_W36,3,"0.331085,0.278802,0.390113"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Other,BETTERBIZ1F2H_W36,3,"0.312111,0.271167,0.416723"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Republican,BETTERBIZ1F2H_W36,3,"0.392810,0.243901,0.363289"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,BETTERBIZ2F2F_W36,3,"0.341653,0.268167,0.390180"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,BETTERBIZ2F2F_W36,3,"0.305104,0.250972,0.443924"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,BETTERBIZ2F2F_W36,3,"0.291185,0.247125,0.461690"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,BETTERBIZ2F2F_W36,3,"0.327738,0.273835,0.398427"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,BETTERBIZ2F2F_W36,3,"0.306851,0.260421,0.432729"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Democrat,BETTERBIZ2F2F_W36,3,"0.319527,0.266975,0.413498"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Independent,BETTERBIZ2F2F_W36,3,"0.297009,0.250107,0.452885"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Republican,BETTERBIZ2F2F_W36,3,"0.386380,0.236190,0.377430"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Democrat,BETTERBIZ2F2F_W36,3,"0.307014,0.266739,0.426247"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Independent,BETTERBIZ2F2F_W36,3,"0.279600,0.237294,0.483106"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Other,BETTERBIZ2F2F_W36,3,"0.266123,0.236694,0.497183"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Republican,BETTERBIZ2F2F_W36,3,"0.324092,0.246556,0.429352"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Democrat,BETTERBIZ2F2F_W36,3,"0.307755,0.271593,0.420652"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Independent,BETTERBIZ2F2F_W36,3,"0.287480,0.245894,0.466626"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Democrat,BETTERBIZ2F2F_W36,3,"0.332818,0.278079,0.389103"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Independent,BETTERBIZ2F2F_W36,3,"0.317076,0.262866,0.420058"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Other,BETTERBIZ2F2F_W36,3,"0.301888,0.262285,0.435827"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Republican,BETTERBIZ2F2F_W36,3,"0.373244,0.250584,0.376172"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Democrat,BETTERBIZ2F2F_W36,3,"0.340936,0.269703,0.389361"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Independent,BETTERBIZ2F2F_W36,3,"0.308036,0.267626,0.424338"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Other,BETTERBIZ2F2F_W36,3,"0.297166,0.260207,0.442627"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Republican,BETTERBIZ2F2F_W36,3,"0.377577,0.241885,0.380538"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,BETTERPOL1F1B_W36,3,"0.200836,0.328545,0.470619"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,BETTERPOL1F1B_W36,3,"0.165983,0.298217,0.535800"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,BETTERPOL1F1B_W36,3,"0.173876,0.273546,0.552578"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,BETTERPOL1F1B_W36,3,"0.182944,0.349890,0.467165"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,BETTERPOL1F1B_W36,3,"0.150967,0.322105,0.526928"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Democrat,BETTERPOL1F1B_W36,3,"0.175986,0.341882,0.482132"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Independent,BETTERPOL1F1B_W36,3,"0.165108,0.306063,0.528829"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Republican,BETTERPOL1F1B_W36,3,"0.180753,0.312313,0.506934"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Democrat,BETTERPOL1F1B_W36,3,"0.192698,0.315232,0.492070"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Independent,BETTERPOL1F1B_W36,3,"0.155241,0.272457,0.572302"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Other,BETTERPOL1F1B_W36,3,"0.158486,0.257249,0.584265"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Republican,BETTERPOL1F1B_W36,3,"0.184669,0.297415,0.517917"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Democrat,BETTERPOL1F1B_W36,3,"0.200125,0.319799,0.480076"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Independent,BETTERPOL1F1B_W36,3,"0.168995,0.289726,0.541279"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Democrat,BETTERPOL1F1B_W36,3,"0.192116,0.350606,0.457277"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Independent,BETTERPOL1F1B_W36,3,"0.185049,0.319735,0.495216"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Other,BETTERPOL1F1B_W36,3,"0.191563,0.303735,0.504702"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Republican,BETTERPOL1F1B_W36,3,"0.197100,0.330081,0.472819"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Democrat,BETTERPOL1F1B_W36,3,"0.177788,0.342695,0.479517"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Independent,BETTERPOL1F1B_W36,3,"0.178719,0.316121,0.505160"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Other,BETTERPOL1F1B_W36,3,"0.187987,0.288894,0.523119"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Republican,BETTERPOL1F1B_W36,3,"0.188536,0.310843,0.500621"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,BETTERPOL1F1F_W36,3,"0.341240,0.301143,0.357617"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,BETTERPOL1F1F_W36,3,"0.305764,0.282786,0.411450"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,BETTERPOL1F1F_W36,3,"0.283876,0.273001,0.443124"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,BETTERPOL1F1F_W36,3,"0.313723,0.313723,0.372555"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,BETTERPOL1F1F_W36,3,"0.296756,0.294446,0.408798"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Democrat,BETTERPOL1F1F_W36,3,"0.310056,0.310056,0.379888"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Independent,BETTERPOL1F1F_W36,3,"0.294940,0.285866,0.419194"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Republican,BETTERPOL1F1F_W36,3,"0.351697,0.282596,0.365707"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Democrat,BETTERPOL1F1F_W36,3,"0.295386,0.297703,0.406911"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Independent,BETTERPOL1F1F_W36,3,"0.275988,0.265415,0.458596"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Other,BETTERPOL1F1F_W36,3,"0.257540,0.257540,0.484921"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Republican,BETTERPOL1F1F_W36,3,"0.305451,0.280297,0.414252"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Democrat,BETTERPOL1F1F_W36,3,"0.301477,0.299131,0.399392"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Independent,BETTERPOL1F1F_W36,3,"0.286452,0.273335,0.440213"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Democrat,BETTERPOL1F1F_W36,3,"0.325084,0.315082,0.359835"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Independent,BETTERPOL1F1F_W36,3,"0.319379,0.295377,0.385244"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Other,BETTERPOL1F1F_W36,3,"0.298117,0.291211,0.410673"
