ty,gk,qk,n_opt,mouth_pred
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,CANDEXP_W92,4,"0.364941,0.282005,0.214538,0.138516"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,ECON5_e_W54,5,"0.154728,0.173966,0.221638,0.257105,0.192563"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,EVOTWO_W34,2,"0.924688,0.075312"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,EVOTWO_W34,2,"0.912436,0.087564"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,FAMSURV25_W50,4,"0.352117,0.289643,0.220349,0.137891"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,FAMSURV25_W50,4,"0.308541,0.299048,0.231087,0.161324"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,FAMSURV25_W50,4,"0.361747,0.295249,0.201342,0.141662"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,FAMSURV25_W50,4,"0.319759,0.295729,0.224979,0.159534"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,FAMSURV25_W50,4,"0.326290,0.301769,0.226015,0.145926"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,FAMSURV25_W50,4,"0.293096,0.309572,0.239218,0.158114"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,FAMSURV25_W50,4,"0.355150,0.294430,0.197671,0.152748"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,FAMSURV26b_W50,4,"0.216530,0.235961,0.298283,0.249225"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,FAMSURV26b_W50,4,"0.215656,0.242468,0.299408,0.242468"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,FAMSURV26b_W50,4,"0.239650,0.237785,0.269445,0.253120"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,FAMSURV26b_W50,4,"0.236936,0.258198,0.277006,0.227859"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,FAMSURV26b_W50,4,"0.222425,0.254018,0.281172,0.242385"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,FAMSURV26b_W50,4,"0.208223,0.241543,0.302963,0.247271"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,FAMSURV26b_W50,4,"0.217644,0.254451,0.299817,0.228089"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,FAMSURV26b_W50,4,"0.233006,0.244188,0.276702,0.246104"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,FAMSURV26b_W50,4,"0.215082,0.232559,0.274022,0.278337"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,FAMSURV26d_W50,4,"0.211394,0.259005,0.302808,0.226793"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,FAMSURV26d_W50,4,"0.211265,0.258847,0.304997,0.224891"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,FAMSURV26d_W50,4,"0.238038,0.259399,0.271848,0.230714"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,FAMSURV26d_W50,4,"0.222419,0.268289,0.283370,0.225922"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,FAMSURV26d_W50,4,"0.205192,0.261421,0.308029,0.225359"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,FAMSURV26d_W50,4,"0.214489,0.271140,0.304851,0.209521"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,FAMSURV26d_W50,4,"0.211493,0.249199,0.280182,0.259126"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,FAMSURV30d_W50,3,"0.377870,0.323210,0.298920"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,FAMSURV30d_W50,3,"0.356956,0.335329,0.307715"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,FAMSURV30d_W50,3,"0.370382,0.332008,0.297610"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,FAMSURV30d_W50,3,"0.360466,0.335991,0.303543"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,FAMSURV30d_W50,3,"0.343720,0.338391,0.317889"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,FAMSURV30d_W50,3,"0.357953,0.331052,0.310995"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GAP21Q19_a_W82,4,"0.266597,0.268688,0.266597,0.198118"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,GAP21Q19_a_W82,4,"0.253710,0.265885,0.270072,0.210333"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,GAP21Q19_a_W82,4,"0.274437,0.225746,0.227516,0.272301"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GAP21Q33_s_W82,3,"0.366076,0.357596,0.276329"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,GAP21Q33_s_W82,3,"0.346647,0.374815,0.278539"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GAP21Q34_a_W82,4,"0.264537,0.297427,0.260435,0.177601"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,GAP21Q34_a_W82,4,"0.290160,0.281233,0.236822,0.191784"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,GAP21Q34_a_W82,4,"0.243540,0.293765,0.275967,0.186728"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,GAP21Q34_a_W82,4,"0.229322,0.287634,0.308586,0.174459"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,GAP21Q34_a_W82,4,"0.274350,0.261787,0.232838,0.231026"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GAP21Q34_b_W82,4,"0.323020,0.305829,0.218566,0.152584"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,GAP21Q34_b_W82,4,"0.292602,0.304258,0.235112,0.168027"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,GAP21Q34_b_W82,4,"0.320452,0.271965,0.197425,0.210158"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GAP21Q34_c_W82,4,"0.253404,0.273995,0.278310,0.194291"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,GAP21Q34_c_W82,4,"0.276409,0.259662,0.253647,0.210281"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,GAP21Q34_c_W82,4,"0.236154,0.271812,0.291612,0.200422"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,GAP21Q34_c_W82,4,"0.218712,0.265887,0.328326,0.187075"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,GAP21Q34_c_W82,4,"0.264401,0.240739,0.244531,0.250329"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GAP21Q34_d_W82,4,"0.269464,0.305343,0.234114,0.191079"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,GAP21Q34_d_W82,4,"0.249293,0.300705,0.251248,0.198754"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,GAP21Q34_d_W82,4,"0.275814,0.275814,0.204967,0.243405"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GAP21Q34_f_W82,4,"0.265074,0.298031,0.258933,0.177962"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,GAP21Q34_f_W82,4,"0.244265,0.292347,0.274635,0.188753"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,GAP21Q34_f_W82,4,"0.284136,0.262783,0.224770,0.228310"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GAP21Q47_W82,4,"0.173537,0.148434,0.283888,0.394140"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,GAP21Q47_W82,4,"0.177306,0.165267,0.299260,0.358167"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,GAP21Q47_W82,4,"0.184734,0.161758,0.286121,0.367387"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,GAP21Q47_W82,4,"0.189726,0.154850,0.247449,0.407975"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GODMORALIMP_W92,4,"0.360409,0.341228,0.188444,0.109919"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,GODMORALIMP_W92,4,"0.333103,0.343677,0.216754,0.106466"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,GODMORALIMP_W92,4,"0.341350,0.315697,0.191480,0.151473"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,GOVPRIOmF2_W41,4,"0.404728,0.300769,0.183856,0.110647"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,GOVPRIOmF2_W41,4,"0.386514,0.305757,0.189849,0.117880"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,HAVEKIDS1_W50,4,"0.352373,0.289854,0.215401,0.142372"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,HAVEKIDS1_W50,4,"0.381880,0.279389,0.183228,0.155503"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,HAVEKIDS1_W50,4,"0.355797,0.290393,0.199584,0.154226"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,HAVEKIDS1_W50,4,"0.317683,0.287003,0.225271,0.170043"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,HAVEKIDS1_W50,4,"0.306794,0.295041,0.235227,0.162937"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,HAVEKIDS1_W50,4,"0.281915,0.286354,0.256686,0.175045"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,HAVEKIDS1_W50,4,"0.350161,0.279173,0.202658,0.168009"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,IDIMPORT_W43,5,"0.207495,0.177480,0.215761,0.235123,0.164142"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,IDIMPORT_W43,5,"0.191742,0.190250,0.238627,0.227700,0.151681"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,IDIMPORT_W43,5,"0.201374,0.195178,0.217737,0.226411,0.159300"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,IDIMPORT_W43,5,"0.193709,0.186288,0.233658,0.228245,0.158101"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,IDIMPORT_W43,5,"0.197139,0.189587,0.213158,0.234108,0.166008"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,LOCALELECT_W29,4,"0.326564,0.306778,0.226204,0.140453"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,LOCALELECT_W29,4,"0.284316,0.324699,0.230246,0.160738"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,LOCALELECT_W29,4,"0.329155,0.302050,0.210865,0.157930"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,LOCALELECT_W29,4,"0.315045,0.315045,0.223400,0.146510"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,LOCALELECT_W29,4,"0.308355,0.287418,0.218656,0.185571"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,MARRDUR_W50,6,"0.127606,0.157573,0.174417,0.173060,0.175785,0.191560"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,MARRDUR_W50,6,"0.130308,0.148816,0.173984,0.162171,0.178110,0.206611"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,MARRDUR_W50,6,"0.117501,0.134190,0.142844,0.155663,0.172303,0.277499"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,MARRDUR_W50,6,"0.110761,0.153776,0.168890,0.167576,0.176995,0.222002"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,MARRDUR_W50,6,"0.104455,0.137303,0.145021,0.159275,0.172217,0.281728"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,MARRDUR_W50,6,"0.112793,0.142584,0.162836,0.174698,0.184518,0.222571"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,MARRDUR_W50,6,"0.105223,0.143823,0.162973,0.169465,0.183236,0.235279"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,MARRDUR_W50,6,"0.106554,0.130553,0.168948,0.153829,0.178445,0.261672"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,MARRDUR_W50,6,"0.093846,0.113200,0.130293,0.145352,0.176703,0.340605"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,MARRDUR_W50,6,"0.108416,0.139209,0.141401,0.156517,0.173248,0.281209"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,MOVERURAL_W32,3,"0.226397,0.275229,0.498375"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,MOVERURAL_W32,3,"0.222318,0.276680,0.501002"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,NEIGHINTERB_W32,6,"0.147410,0.180611,0.184894,0.158148,0.161899,0.167038"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,NEIGHINTERB_W32,6,"0.156134,0.172825,0.183971,0.162354,0.161090,0.163627"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,NEWS_PLATFORMg_W45,4,"0.424790,0.308364,0.179867,0.086978"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,NEWS_PLATFORMg_W45,4,"0.372121,0.313357,0.210378,0.104145"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,NEWS_PLATFORMg_W45,4,"0.381616,0.323873,0.193393,0.101118"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,NEWS_PLATFORMg_W45,4,"0.377520,0.300985,0.186886,0.134609"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,PROG_RNEED2b_W92,2,"0.470737,0.529263"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,PROG_RNEED2b_W92,2,"0.439747,0.560253"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,PROG_RNEED2b_W92,2,"0.447460,0.552540"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV38_W43,4,"0.299083,0.236594,0.240320,0.224003"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,RACESURV38_W43,4,"0.248594,0.254489,0.268794,0.228123"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV38_W43,4,"0.255929,0.231213,0.240423,0.272435"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV47a_W43,4,"0.137662,0.213215,0.303040,0.346083"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,RACESURV47a_W43,4,"0.152862,0.238614,0.274643,0.333881"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,RACESURV47a_W43,4,"0.134521,0.211631,0.310337,0.343511"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV47a_W43,4,"0.150168,0.227197,0.276201,0.346434"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV47b_W43,4,"0.193105,0.257829,0.280966,0.268100"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,RACESURV47b_W43,4,"0.207882,0.248802,0.254702,0.288615"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,RACESURV47b_W43,4,"0.182117,0.279873,0.291022,0.246987"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,RACESURV47b_W43,4,"0.195615,0.275862,0.263229,0.265294"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,RACESURV47b_W43,4,"0.170490,0.259967,0.299220,0.270323"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,RACESURV47b_W43,4,"0.181094,0.265557,0.293944,0.259405"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,4,"0.191970,0.266523,0.266523,0.274984"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV47d_W43,4,"0.210566,0.375374,0.236746,0.177314"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,RACESURV47d_W43,4,"0.205548,0.360748,0.232917,0.200787"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV47d_W43,4,"0.199455,0.352800,0.238717,0.209027"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV48_W43,4,"0.828894,0.104562,0.040312,0.026232"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,RACESURV48_W43,4,"0.735230,0.159005,0.070009,0.035757"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,RACESURV48_W43,4,"0.752794,0.141446,0.054532,0.051228"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV48_W43,4,"0.755173,0.137527,0.054279,0.053021"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV52MOD_W92,4,"0.233748,0.203084,0.322001,0.241168"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,RACESURV52MOD_W92,4,"0.235057,0.227825,0.316303,0.220815"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV52MOD_W92,4,"0.247423,0.220063,0.287016,0.245498"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV5e_W43,5,"0.195392,0.182125,0.169759,0.193871,0.258852"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,RACESURV5e_W43,5,"0.194792,0.190279,0.182990,0.193276,0.238664"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV5e_W43,5,"0.190851,0.187893,0.179288,0.196910,0.245058"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV5g_W43,5,"0.160145,0.158898,0.169146,0.224083,0.287728"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,RACESURV5g_W43,5,"0.151113,0.163392,0.197089,0.214775,0.273631"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,RACESURV5g_W43,5,"0.164309,0.166897,0.186187,0.228121,0.254487"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV5g_W43,5,"0.158300,0.162054,0.186523,0.232131,0.260992"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV5k_W43,5,"0.088932,0.118740,0.261386,0.430953,0.099989"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,RACESURV5k_W43,5,"0.091738,0.127366,0.271748,0.398492,0.110657"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,RACESURV5k_W43,5,"0.099162,0.132399,0.275944,0.380129,0.112366"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,RACESURV5k_W43,5,"0.087475,0.127275,0.253117,0.451231,0.080901"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV5k_W43,5,"0.092024,0.131819,0.264208,0.406030,0.105919"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,RACESURV5l_W43,5,"0.205837,0.183075,0.201069,0.252197,0.157821"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,RACESURV5l_W43,5,"0.202613,0.197919,0.199472,0.248246,0.151750"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,REPRSNTDEM_W92,4,"0.196665,0.281709,0.302230,0.219396"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,REPRSNTDEM_W92,4,"0.228144,0.275194,0.266728,0.229934"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,REPRSNTDEM_W92,4,"0.244658,0.202829,0.268705,0.283808"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,ROMRELDUR_W50,6,"0.176694,0.144213,0.191051,0.157155,0.159629,0.171257"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,ROMRELDUR_W50,6,"0.175278,0.146451,0.185131,0.151099,0.158351,0.183690"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,ROMRELDUR_W50,6,"0.144993,0.154344,0.190589,0.155554,0.166885,0.187634"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,ROMRELDUR_W50,6,"0.144250,0.143128,0.173999,0.162185,0.154758,0.221680"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,ROMRELDUR_W50,6,"0.144249,0.144249,0.178124,0.167332,0.167332,0.198712"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,ROMRELDUR_W50,6,"0.140393,0.143722,0.185990,0.168028,0.165423,0.196445"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,ROMRELDUR_W50,6,"0.142246,0.142246,0.186979,0.153805,0.161186,0.213537"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,ROMRELDUR_W50,6,"0.134565,0.134565,0.163590,0.157323,0.158557,0.251401"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,ROMRELDUR_W50,6,"0.144906,0.143778,0.173430,0.160396,0.161654,0.215836"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,SOCIETY_GUNS_W92,5,"0.138251,0.166762,0.288140,0.227937,0.178910"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,SOCIETY_GUNS_W92,5,"0.190094,0.167757,0.197666,0.222242,0.222242"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,SOCIETY_GUNS_W92,5,"0.148193,0.170569,0.238669,0.246245,0.196324"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,SOCIETY_GUNS_W92,5,"0.134782,0.162578,0.323325,0.200757,0.178557"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,SOCIETY_GUNS_W92,5,"0.212094,0.169096,0.160097,0.208806,0.249908"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,SOCIETY_RELG_W92,5,"0.128506,0.163721,0.377701,0.197486,0.132586"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,SOCIETY_RELG_W92,5,"0.117725,0.155960,0.410900,0.188124,0.127291"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,SOCIETY_RELG_W92,5,"0.129541,0.167639,0.369028,0.202211,0.131581"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,SOCIETY_RELG_W92,5,"0.135067,0.168094,0.361458,0.190475,0.144906"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,SOCIETY_RHIST_W92,5,"0.244790,0.240995,0.195163,0.168241,0.150811"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,SOCIETY_RHIST_W92,5,"0.210825,0.227957,0.258309,0.159139,0.143770"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,SOCIETY_RHIST_W92,5,"0.246377,0.235095,0.181667,0.180254,0.156607"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,SOCIETY_RHIST_W92,5,"0.227231,0.232620,0.210154,0.168864,0.161131"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,SOCIETY_RHIST_W92,5,"0.249652,0.199040,0.151422,0.192916,0.206969"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,SOCIETY_SSM_W92,5,"0.157759,0.225980,0.336595,0.157759,0.121907"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,SOCIETY_SSM_W92,5,"0.130702,0.177258,0.408930,0.156430,0.126681"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,SOCIETY_SSM_W92,5,"0.134952,0.193310,0.396647,0.154120,0.120970"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,SOCIETY_SSM_W92,5,"0.173686,0.221282,0.300103,0.169663,0.135267"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,SOCIETY_SSM_W92,5,"0.157957,0.228038,0.331793,0.159196,0.123017"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,SOCIETY_SSM_W92,5,"0.162464,0.215229,0.328186,0.156240,0.137881"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,SOCIETY_SSM_W92,5,"0.174654,0.227792,0.299427,0.157787,0.140339"
